,game_name,release_date,original_price($),discount_price($),steam_rating
94,Zero Hour,"12 Aug, 2020",13.49,12.14,68.12%
95,Zero Hour,"12 Aug, 2020",13.49,12.14,68.12%
96,Cities: Skylines,"10 Mar, 2015",32.99,,91.28%
97,Cities: Skylines,"10 Mar, 2015",32.99,,91.28%
98,Cities: Skylines,"10 Mar, 2015",32.99,,91.28%
99,Cities: Skylines,"10 Mar, 2015",32.99,,91.28%
100,Remnant: From the Ashes,"20 Aug, 2019",45.49,,82.61%
101,"Yes, Your Grace","6 Mar, 2020",22.79,18.23,80.60%
102,House Flipper,"17 May, 2018",22.79,,87.90%
103,Stranded Deep,"23 Jan, 2015",16.99,,74.14%
104,The Forest,"30 Apr, 2018",22.79,,93.00%
105,DARK SOULS™ III,"11 Apr, 2016",66.49,,92.12%
106,Command & Conquer™ Remastered Collection,"5 Jun, 2020",26.99,,88.31%
107,Planet Zoo,"5 Nov, 2019",51.49,,86.65%
108,Planet Zoo,"5 Nov, 2019",51.49,,86.65%
109,Dragon Age™ Inquisition,"4 Jun, 2020",54.99,,65.39%
110,Green Hell,"5 Sep, 2019",28.99,,84.22%
111,LEGO® The Lord of the Rings™,"27 Nov, 2012",19.99,4.99,86.12%
112,Post Scriptum,"9 Aug, 2018",38.00,,71.97%
113,Hellpoint,"30 Jul, 2020",39.99,,75.12%
114,Stormworks: Build and Rescue,"28 Feb, 2018",22.79,,91.21%
115,FINAL FANTASY XV WINDOWS EDITION,"6 Mar, 2018",45.99,,78.46%
116,Foxhole,"27 Jul, 2017",21.99,12.09,78.45%
117,Foxhole,"27 Jul, 2017",21.99,12.09,78.45%
118,PC Building Simulator,"29 Jan, 2019",22.79,,91.69%
119,For The King,"19 Apr, 2018",22.79,9.11,86.24%
120,No Man's Sky,"12 Aug, 2016",66.49,,64.56%
121,Scrap Mechanic,"20 Jan, 2016",21.99,,89.50%
122,The Legend of Heroes: Trails of Cold Steel II,"14 Feb, 2018",49.99,,90.43%
123,Farming Simulator 19,"19 Nov, 2018",32.99,,89.26%
124,Yakuza 0,"1 Aug, 2018",29.99,,90.18%
125,Car Mechanic Simulator 2018,"28 Jul, 2017",21.99,,85.88%
126,GUILTY GEAR Xrd -REVELATOR-,"14 Dec, 2016",32.99,,90.20%
127,One Step From Eden,"26 Mar, 2020",22.79,,90.79%
128,The Legend of Heroes: Trails of Cold Steel,"2 Aug, 2017",49.99,,91.92%
129,Banners of Ruin,"30 Jul, 2020",22.79,,77.01%
130,Gears 5,"9 Sep, 2019",49.99,,61.83%
131,Gears 5,"9 Sep, 2019",49.99,,61.83%
132,Rocket Arena,"13 Jul, 2020",39.99,6.79,57.15%
133,Rocket Arena,"13 Jul, 2020",39.99,6.79,57.15%
134,"Warhammer 40,000: Dawn of War III","27 Apr, 2017",47.99,,46.17%
135,Dungeon Defenders: Awakened,"28 May, 2020",33.99,,69.24%
136,The Jackbox Party Pack 4,"19 Oct, 2017",27.99,,87.52%
137,Left 4 Dead 2,"17 Nov, 2009",11.49,,96.14%
138,Undertale,"15 Sep, 2015",10.99,,94.87%
139,Totally Accurate Battle Simulator,"1 Apr, 2019",17.49,,95.61%
140,DOOM Eternal,"20 Mar, 2020",79.99,,84.37%
141,DOOM Eternal,"20 Mar, 2020",79.99,,84.37%
142,Warhammer: Vermintide 2,"8 Mar, 2018",33.99,,78.07%
143,Oxygen Not Included,"30 Jul, 2019",27.99,,94.48%
144,PAYDAY 2,"13 Aug, 2013",11.49,5.74,86.29%
