,game_name,release_date,original_price($),discount_price($),steam_rating
408,Portal,"10 Oct, 2007",11.49,,96.60%
409,Sister Travel,"24 Jan, 2019",17.49,8.74,85.11%
410,NBA 2K20,"6 Sep, 2019",79.99,,47.64%
411,NBA 2K20,"6 Sep, 2019",79.99,,47.64%
412,Frontier Pilot Simulator,"30 Jan, 2018",29.99,23.69,67.26%
413,Job Simulator,"5 Apr, 2016",22.79,,85.58%
414,Fantasy Grounds,"9 May, 2014",43.99,,77.34%
415,Total War: WARHAMMER,"24 May, 2016",71.99,,76.05%
416,The Room VR: A Dark Matter,"26 Mar, 2020",33.99,,90.21%
417,The Darkside Detective,"27 Jul, 2017",13.99,6.99,90.02%
418,Yu-Gi-Oh! Legacy of the Duelist : Link Evolution,"24 Mar, 2020",54.99,,73.81%
419,Skytropolis,"2 Nov, 2017",28.99,,69.94%
420,Rocksmith® 2014 Edition - Remastered,"22 Oct, 2013",39.99,,90.08%
421,Hearts of Iron IV,"6 Jun, 2016",43.99,,89.89%
422,Deep Sky Derelicts,"26 Sep, 2018",22.79,5.69,74.27%
423,Karnage Chronicles,"31 Jul, 2020",27.99,,84.74%
424,Kerbal Space Program,"27 Apr, 2015",43.99,,92.07%
425,GreedFall,"9 Sep, 2019",64.99,,78.79%
426,TIS-100,"20 Jul, 2015",7.79,,92.53%
427,Mindustry,"26 Sep, 2019",6.69,,93.83%
428,Resident Evil 2,"25 Jan, 2019",54.99,,95.67%
429,Gears Tactics,"28 Apr, 2020",79.99,,73.68%
430,Gears Tactics,"28 Apr, 2020",79.99,,73.68%
431,Boomerang Fu,"13 Aug, 2020",17.49,15.74,74.20%
432,They Are Billions,"18 Jun, 2019",33.99,,83.13%
433,War of Rights,"3 Dec, 2018",33.99,,81.34%
434,Fae Tactics,"31 Jul, 2020",22.79,,73.66%
435,State of Mind,"15 Aug, 2018",44.99,6.74,78.67%
436,Enter the Gungeon,"5 Apr, 2016",16.99,,94.23%
437,shapez.io,"7 Jun, 2020",4.65,,91.83%
438,Banished,"18 Feb, 2014",21.99,,88.25%
439,Poly Bridge 2,"28 May, 2020",17.49,,90.75%
440,Pillars of Eternity II: Deadfire,"8 May, 2018",43.99,,84.23%
441,Motorsport Manager,"9 Nov, 2016",38.69,,88.71%
442,Northgard,"7 Mar, 2018",33.99,,85.07%
443,Death and Taxes,"20 Feb, 2020",14.49,,85.74%
444,A Plague Tale: Innocence,"13 May, 2019",59.99,,92.22%
445,A Dance of Fire and Ice,"24 Jan, 2019",6.69,,91.72%
446,Planet Coaster,"17 Nov, 2016",60.00,,88.29%
447,ShellShock Live,"22 May, 2020",7.79,,90.25%
448,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,"10 Aug, 2020",45.49,36.39,52.81%
449,Yakuza Kiwami 2,"9 May, 2019",39.99,,92.33%
450,Trover Saves the Universe,"4 Jun, 2019",33.99,,88.07%
451,Billion Road,"16 Apr, 2020",33.99,,74.38%
452,Deadside,"14 Apr, 2020",22.79,,76.15%
453,BlazBlue: Continuum Shift Extend,"11 Dec, 2014",21.99,3.29,86.59%
454,Synth Riders,"31 Oct, 2019",28.99,19.42,86.48%
455,Burly Men at Sea,"29 Sep, 2016",11.49,,62.20%
456,"Warhammer 40,000: Gladius - Relics of War","12 Jul, 2018",45.49,,75.86%
457,Kingdom: Classic,"21 Oct, 2015",5.69,,87.40%
458,Europa Universalis IV,"13 Aug, 2013",43.99,,85.68%
459,The Room Two,"5 Jul, 2016",5.49,,94.82%
460,Ashley Clark: The Secrets of the Ancient Temple,"31 Aug, 2018",11.49,,63.83%
461,Howlville: The Dark Past,"11 May, 2018",11.49,,68.04%
462,Men of War: Assault Squad 2,"15 May, 2014",32.99,6.59,87.18%
463,Moving Out,"28 Apr, 2020",28.99,,70.23%
464,Kingdom Come: Deliverance,"13 Feb, 2018",33.99,,79.38%
465,The Walking Dead: Saints & Sinners,"23 Jan, 2020",45.49,,85.54%
466,Yakuza Kiwami,"19 Feb, 2019",29.99,,90.03%
467,Assembly Planter,"4 Aug, 2020",5.69,,72.22%
468,Two Point Hospital,"30 Aug, 2018",41.99,,88.26%
469,Don't Escape: 4 Days to Survive,"11 Mar, 2019",16.99,8.49,92.30%
470,Cat Quest,"8 Aug, 2017",13.99,3.49,91.98%
471,Cat Quest,"8 Aug, 2017",13.99,3.49,91.98%
472,DRAGON BALL Z: KAKAROT,"16 Jan, 2020",79.99,,90.43%
473,Golf It!,"17 Feb, 2017",9.99,,85.40%
474,The Jackbox Party Pack,"26 Nov, 2014",27.99,,87.21%
475,Tilt Brush,"5 Apr, 2016",21.99,,90.22%
476,Tilt Brush,"5 Apr, 2016",21.99,,90.22%
477,Peekaboo,"7 Aug, 2019",5.69,,76.72%
478,Transport Fever 2,"11 Dec, 2019",51.49,,82.54%
479,CarX Drift Racing Online,"17 Nov, 2017",17.49,,85.43%
480,Neon Abyss,"14 Jul, 2020",22.79,,78.10%
481,Cauldrons of War - Barbarossa,"26 May, 2020",5.69,,77.62%
482,The Light Remake,"4 Jun, 2020",5.69,,81.81%
483,Need for Speed™ Most Wanted,"18 Jun, 2020",26.99,,71.01%
484,Fight Crab,"29 Jul, 2020",22.79,,84.01%
485,South Park™: The Stick of Truth™,"3 Mar, 2014",39.99,,95.63%
486,Terminator: Resistance,"14 Nov, 2019",49.99,,89.93%
487,Rise of Nations: Extended Edition,"12 Jun, 2014",21.99,,90.39%
488,Trap Shrine,"29 Mar, 2019",11.49,5.74,90.07%
489,Age of Civilizations II,"21 Nov, 2018",5.69,4.26,81.38%
490,BattleGroupVR,"31 Jul, 2020",28.99,,86.21%
491,Crash Bandicoot™ N. Sane Trilogy,"29 Jun, 2018",49.99,,90.17%
492,Super Pixel Racers,"31 Jan, 2019",17.49,5.77,69.35%
493,Race for Tuning,"19 Apr, 2019",5.99,,66.67%
494,Planet of the Eyes,"24 Aug, 2015",9.99,,77.04%
495,Halo Wars: Definitive Edition,"20 Apr, 2017",21.99,,85.92%
496,NEKOPARA Extra,"27 Jul, 2018",5.69,,93.21%
497,Classic Sudoku,"25 Nov, 2019",5.69,,84.94%
498,Mahjong Nagomi,"6 Aug, 2020",5.69,,64.52%
499,WORLD OF HORROR,"20 Feb, 2020",17.49,,92.91%
500,Darksiders Genesis,"5 Dec, 2019",33.99,,83.02%
501,Mount & Blade: Warband,"31 Mar, 2010",21.99,,96.22%
502,Into the Radius VR,"20 Jul, 2020",33.99,,69.94%
503,METAL GEAR SOLID V: THE PHANTOM PAIN,"1 Sep, 2015",29.99,,88.46%
504,Heavy Rain,"18 Jun, 2020",21.99,,79.56%
505,Descenders,"7 May, 2019",28.99,,89.09%
506,Ultimate Admiral: Age of Sail,"4 Mar, 2020",45.49,,73.89%
507,Journey,"11 Jun, 2020",17.49,,91.23%
508,Dicey Dungeons,"13 Aug, 2019",17.49,,87.43%
509,Streets of Rogue,"12 Jul, 2019",22.79,,93.40%
510,Pathologic Classic HD,"29 Oct, 2015",13.99,1.39,82.06%
511,Vacation Simulator,"9 Apr, 2019",33.99,,85.76%
512,The Binding of Isaac: Rebirth,"4 Nov, 2014",16.99,,96.60%
513,Age of Empires: Definitive Edition,"19 Aug, 2019",21.99,,78.24%
514,Grand Theft Auto: San Andreas,"4 Jan, 2008",16.99,,89.27%
515,Grand Theft Auto: San Andreas,"4 Jan, 2008",16.99,,83.63%
516,Embr,"21 May, 2020",22.79,18.23,78.57%
517,Alien: Isolation,"6 Oct, 2014",43.99,,90.98%
518,Assetto Corsa Competizione,"29 May, 2019",45.49,,85.39%
519,NoLimits 2 Roller Coaster Simulation,"21 Aug, 2014",43.99,,87.57%
520,Ultimate Chicken Horse,"4 Mar, 2016",16.99,,93.50%
521,Tomb Raider,"5 Mar, 2013",19.99,,95.02%
522,Moonlighter,"29 May, 2018",22.79,,80.90%
523,Raiden IV: OverKill,"2 Sep, 2015",16.99,2.54,79.41%
524,Hypnospace Outlaw,"12 Mar, 2019",22.79,15.95,92.74%
525,Wolfenstein II: The New Colossus,"26 Oct, 2017",54.99,,74.89%
526,Surviving Mars,"15 Mar, 2018",33.99,,80.44%
527,Deponia: The Complete Journey,"8 Jul, 2014",44.99,4.49,84.86%
528,AI: The Somnium Files,"17 Sep, 2019",69.99,,89.02%
529,Super Mega Baseball 3,"13 May, 2020",59.99,,85.42%
530,"Warhammer 40,000: Inquisitor - Martyr","5 Jun, 2018",59.99,,70.58%
531,Dead Space™ 3,"18 Jun, 2020",26.99,,74.59%
532,Thronebreaker: The Witcher Tales,"9 Nov, 2018",21.99,,88.54%
533,Shotgun Farmers,"8 Mar, 2019",10.99,,92.02%
534,Who's Your Daddy,"13 May, 2016",5.69,,72.22%
535,Pogostuck: Rage With Your Friends,"28 Feb, 2019",7.99,,80.01%
536,LEGO® Batman™ 2: DC Super Heroes,"22 Jun, 2012",19.99,4.99,86.03%
537,Geometry Dash,"22 Dec, 2014",4.49,,93.30%
538,Until You Fall,"27 Aug, 2019",22.79,,90.92%
539,Coffence,"25 Oct, 2018",16.99,,64.52%
540,Wolfpack,"15 Mar, 2019",39.99,,88.36%
541,Zero Caliber VR,"9 Nov, 2018",32.99,,78.58%
542,FINAL FANTASY IX,"14 Apr, 2016",23.99,,89.90%
543,A Short Hike,"30 Jul, 2019",8.99,6.29,95.20%
544,NARUTO TO BORUTO: SHINOBI STRIKER,"30 Aug, 2018",79.99,,70.96%
545,NARUTO TO BORUTO: SHINOBI STRIKER,"30 Aug, 2018",79.99,,70.96%
546,Max Gentlemen Sexy Business!,"25 Feb, 2020",22.79,,86.05%
547,DARQ,"15 Aug, 2019",22.79,11.39,89.60%
548,A Way Out,"18 Jun, 2020",39.99,,83.06%
549,Age of Wonders: Planetfall,"6 Aug, 2019",56.99,,77.48%
550,Helicopter Simulator,"6 Aug, 2020",28.99,,68.83%
551,AUDICA: Rhythm Shooter,"5 Nov, 2019",39.69,,79.45%
552,Caladrius Blaze,"12 Jan, 2017",22.79,4.55,71.91%
553,Horizon's Gate,"9 Mar, 2020",22.79,18.23,85.99%
554,Horizon's Gate,"9 Mar, 2020",22.79,18.23,85.99%
555,Tainted Grail,"18 Jun, 2020",28.99,,83.66%
556,Pagan: Absent Gods,"27 Aug, 2019",25.99,18.19,53.81%
557,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,"13 May, 2014",54.99,21.99,80.75%
558,Battlefleet Gothic: Armada 2,"24 Jan, 2019",39.99,,76.49%
559,SpyParty,"12 Apr, 2018",28.99,,80.21%
560,Peggle Deluxe,"6 Mar, 2007",4.99,,90.79%
561,The Escapists 2,"21 Aug, 2017",21.99,,85.80%
562,DRAG,"11 Aug, 2020",39.99,35.99,83.65%
563,We Were Here Together,"10 Oct, 2019",14.49,,85.27%
564,Don't Escape Trilogy,"29 Jul, 2019",5.69,2.84,85.12%
565,Mass Effect,"19 Dec, 2008",26.99,,91.53%
566,Blackwake,"19 Feb, 2020",11.49,1.14,82.06%
567,Monster Crown,"31 Jul, 2020",17.49,,81.67%
568,Katana ZERO,"18 Apr, 2019",17.49,,96.13%
569,Universe Sandbox,"24 Aug, 2015",33.99,,92.38%
570,My Time At Portia,"15 Jan, 2019",34.99,,90.87%
571,Torchlight II,"20 Sep, 2012",21.99,,92.24%
572,ArcheAge: Unchained,"17 Oct, 2019",34.39,,64.73%
573,Cine Tracer,"28 Sep, 2018",102.99,,65.64%
574,Command: Modern Operations,"14 Nov, 2019",91.99,,76.46%
575,Save Koch,"18 Apr, 2019",13.49,,67.30%
576,Half-Life,"19 Nov, 1998",11.49,,94.60%
577,Bite the Bullet,"13 Aug, 2020",17.49,13.99,62.51%
578,Biped,"26 Mar, 2020",17.49,,86.98%
579,SpellForce 3,"7 Dec, 2017",54.99,,71.79%
580,Fallout: New Vegas,"19 Oct, 2010",10.99,,94.71%
581,Chinese Parents,"29 Sep, 2018",11.49,,89.75%
582,Age of Mythology: Extended Edition,"8 May, 2014",32.99,,87.64%
583,Age of Mythology: Extended Edition,"8 May, 2014",32.99,,87.64%
584,Ultimate General: Civil War,"14 Jul, 2017",32.99,,85.47%
585,Senren＊Banka,"14 Feb, 2020",39.99,33.99,95.22%
586,Jump King,"3 May, 2019",16.99,,87.93%
587,Zombotron,"22 Apr, 2019",17.49,8.74,83.84%
588,Plague Inc: Evolved,"18 Feb, 2016",16.99,,92.25%
589,Borderlands 2 VR,"22 Oct, 2019",66.99,33.49,66.23%
590,DARK SOULS™ II: Scholar of the First Sin,"1 Apr, 2015",49.99,,85.35%
591,X-Morph: Defense,"30 Aug, 2017",21.99,3.29,88.82%
592,LEGO® Batman™ 3: Beyond Gotham,"11 Nov, 2014",29.99,7.49,83.84%
593,Monster Prom,"27 Apr, 2018",13.49,,89.46%
594,Half-Life 2,"16 Nov, 2004",11.49,,95.74%
595,The Universim,"28 Aug, 2018",32.99,,79.03%
596,Thief Simulator,"9 Nov, 2018",22.79,,81.99%
597,One Hour One Life,"8 Nov, 2018",22.79,,75.37%
598,Overcooked,"3 Aug, 2016",18.99,,88.61%
599,In Other Waters,"3 Apr, 2020",17.49,13.11,85.88%
600,"Star Wars: Battlefront 2 (Classic, 2005)","8 Jul, 2009",11.49,,91.75%
601,Victoria II,"13 Aug, 2010",21.99,5.49,87.95%
602,Firewatch,"9 Feb, 2016",21.99,,85.55%
603,Danganronpa Another Episode: Ultra Despair Girls,"27 Jun, 2017",32.99,,85.37%
604,CUSTOM ORDER MAID 3D2 It's a Night Magic,"30 Jul, 2019",45.49,,82.39%
605,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"4 Feb, 2016",49.99,,85.63%
606,Railway Empire,"26 Jan, 2018",33.99,,79.62%
607,Five Nights at Freddy's,"19 Aug, 2014",5.69,,87.48%
608,Cute Honey,"22 Jul, 2020",2.29,,82.66%
609,LEGO® Indiana Jones™ 2: The Adventure Continues,"18 Feb, 2010",22.79,,75.20%
610,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"18 Jul, 2016",22.79,,91.45%
611,Heliborne,"12 Oct, 2017",22.79,,77.83%
612,Terraforming Mars,"17 Oct, 2018",22.79,,72.40%
613,Cube World,"30 Sep, 2019",22.79,,39.96%
614,This Land Is My Land,"20 Nov, 2019",45.49,,75.60%
615,Iconoclasts,"23 Jan, 2018",24.99,9.99,84.87%
616,Ultimate Fishing Simulator,"30 Aug, 2018",21.99,8.79,83.94%
617,Celeste,"25 Jan, 2018",21.99,,95.42%
618,Ticket to Ride,"24 May, 2012",10.99,,84.99%
619,The Battle of Polytopia,"4 Aug, 2020",17.49,,88.65%
620,Onward,"30 Aug, 2016",27.99,,75.90%
621,NEKOPARA Vol. 0,"17 Aug, 2015",3.29,,91.61%
622,Drug Dealer Simulator,"16 Apr, 2020",22.79,,84.97%
623,"Cook, Serve, Delicious! 3?!","29 Jan, 2020",17.49,13.11,91.34%
624,Killer Instinct,"27 Sep, 2017",43.99,,87.17%
625,Wolcen: Lords of Mayhem,"13 Feb, 2020",45.49,,55.71%
626,The Elder Scrolls V: Skyrim VR,"2 Apr, 2018",79.99,,76.88%
627,BlazBlue: Calamity Trigger,"13 Feb, 2014",10.99,1.64,82.59%
628,Borderlands: The Pre-Sequel,"13 Oct, 2014",39.99,11.99,78.89%
629,Them's Fightin' Herds,"30 Apr, 2020",17.49,,87.32%
630,Trailmakers,"18 Sep, 2019",28.99,,83.84%
631,Fun with Ragdolls: The Game,"17 Sep, 2019",14.49,,86.72%
632,M.A.S.S. Builder,"13 Sep, 2019",28.99,,85.25%
633,Cold Waters,"5 Jun, 2017",43.99,,81.52%
634,Green Project,"16 May, 2020",8.99,7.64,78.19%
635,Spirit Island,"29 Jul, 2020",28.99,,82.24%
636,Library Of Ruina,"15 May, 2020",28.99,,86.08%
637,Workers & Resources: Soviet Republic,"15 Mar, 2019",28.99,,86.38%
638,Endzone - A World Apart,"2 Apr, 2020",28.99,,73.75%
639,Mad Max,"2 Oct, 2015",29.99,,89.49%
640,Project Hospital,"30 Oct, 2018",28.99,,82.45%
641,My Summer Car,"24 Oct, 2016",16.99,,90.57%
642,Cultist Simulator,"31 May, 2018",22.79,,75.86%
643,VR Mini Bowling 2,"10 Apr, 2020",14.49,,67.06%
644,Kingdom Two Crowns,"11 Dec, 2018",22.79,,84.32%
645,Chess Knights: Viking Lands,"13 Aug, 2020",3.39,2.37,81.46%
646,VA-11 Hall-A: Cyberpunk Bartender Action,"21 Jun, 2016",19.99,,95.41%
647,Cat Quest II,"24 Sep, 2019",17.49,,91.66%
648,The Dark Occult,"25 Sep, 2018",20.00,10.00,65.09%
649,The Coin Game,"22 Feb, 2019",10.29,,91.09%
650,Chronology,"12 May, 2014",5.49,,82.05%
651,Viscera Cleanup Detail,"23 Oct, 2015",13.99,,90.21%
652,Treasure Hunter Claire,"20 Jul, 2018",22.79,11.39,87.14%
653,Batman™: Arkham Origins,"25 Oct, 2013",19.99,,84.55%
654,New Star Manager,"27 Sep, 2018",22.79,7.97,79.18%
655,Mass Effect 2,"26 Jan, 2010",26.99,,92.06%
656,Gunsmith,"25 May, 2018",22.79,11.39,76.09%
657,Ni no Kuni™ II: Revenant Kingdom,"23 Mar, 2018",79.99,,82.33%
658,Injustice™ 2,"14 Nov, 2017",69.99,,80.93%
659,Injustice™ 2,"14 Nov, 2017",69.99,,80.93%
660,Battlefield™ Hardline,"11 Jun, 2020",54.99,10.99,56.52%
661,The Talos Principle,"11 Dec, 2014",43.99,,93.44%
662,Granblue Fantasy: Versus,"13 Mar, 2020",79.99,,79.40%
663,The Legend of Heroes: Trails of Cold Steel III,"23 Mar, 2020",79.99,,90.65%
664,MY HERO ONE'S JUSTICE,"25 Oct, 2018",79.99,,71.16%
665,ONE PIECE: PIRATE WARRIORS 4,"26 Mar, 2020",79.99,,86.34%
666,Resident Evil 7 Biohazard,"25 Jan, 2017",39.99,,91.27%
667,Resident Evil 6,"21 Mar, 2013",39.99,,78.53%
668,Seek Girl:Fog Ⅰ,"12 Jun, 2020",3.39,,78.55%
669,SD GUNDAM G GENERATION CROSS RAYS,"27 Nov, 2019",79.99,,83.47%
670,Deep Sleep Trilogy,"25 Oct, 2019",5.69,2.84,84.69%
671,Men of War: Assault Squad 2 - Cold War,"12 Sep, 2019",28.99,7.24,25.32%
672,Pathologic 2,"23 May, 2019",39.99,,88.64%
673,Farmer's Dynasty,"21 Nov, 2019",39.99,,77.17%
674,Titan Quest Anniversary Edition,"31 Aug, 2016",25.99,,89.05%
675,Little Nightmares,"27 Apr, 2017",24.99,,88.68%
676,We Happy Few,"10 Aug, 2018",74.99,,71.91%
677,Life is Strange: Before the Storm,"31 Aug, 2017",23.99,,91.51%
678,MudRunner,"30 Oct, 2017",37.99,,86.67%
679,Death Come True,"17 Jul, 2020",18.49,,72.97%
680,Storm Chasers,"28 Jun, 2019",14.49,,85.85%
681,Naval Action,"13 Jun, 2019",22.79,,62.60%
682,Quiplash 2 InterLASHional,"8 Apr, 2020",11.49,,68.04%
683,Ni no Kuni Wrath of the White Witch™ Remastered,"19 Sep, 2019",64.99,,85.68%
684,Truck and Logistics Simulator,"23 Jun, 2020",23.94,,66.40%
685,Wildermyth,"13 Nov, 2019",22.79,,92.15%
686,Necrobarista,"22 Jul, 2020",22.79,,80.17%
687,SUPERHOT,"25 Feb, 2016",34.99,,87.32%
688,Secret Neighbor,"24 Oct, 2019",22.79,,84.12%
689,DUSK,"10 Dec, 2018",21.99,,95.22%
690,VRC PRO,"24 Mar, 2015",49.99,19.99,76.13%
691,Supreme Commander: Forged Alliance,"28 Sep, 2011",13.99,,93.81%
692,Forbidden Ingress,"23 Apr, 2020",5.69,,78.25%
693,Rick and Morty: Virtual Rick-ality,"20 Apr, 2017",32.99,,72.86%
694,Youtubers Life,"2 Feb, 2017",34.99,,73.48%
695,Marble It Up!,"16 Nov, 2018",22.79,,87.15%
696,Gold Rush: The Game,"13 Oct, 2017",22.79,,68.46%
697,HYPERCHARGE: Unboxed,"27 Apr, 2020",22.79,,85.92%
698,RUNNING WITH RIFLES,"2 Apr, 2015",16.99,4.24,85.33%
699,Jet Island,"21 Sep, 2018",21.99,,90.46%
700,Duskers,"18 May, 2016",21.99,,84.93%
701,Amnesia: The Dark Descent,"8 Sep, 2010",21.99,,92.51%
702,Saints Row: The Third,"15 Nov, 2011",10.99,,94.26%
703,Duke Nukem 3D: 20th Anniversary World Tour,"11 Oct, 2016",21.99,,79.48%
704,YOU and ME and HER: A Love Story,"25 May, 2020",33.99,,89.09%
705,EARTH DEFENSE FORCE 5,"11 Jul, 2019",68.99,,90.99%
706,Blueplanet VR,"15 Jun, 2020",33.99,,72.28%
707,EARTH DEFENSE FORCE: IRON RAIN,"15 Oct, 2019",68.99,,59.58%
708,The Long Drive,"25 Sep, 2019",13.49,,81.85%
709,Infectonator 3: Apocalypse,"10 May, 2018",14.49,7.24,74.16%
710,HuniePop,"19 Jan, 2015",10.99,,94.09%
711,Drawful 2,"21 Jun, 2016",10.99,,74.46%
712,Hexplore,"25 Jun, 2020",7.99,2.79,50.00%
713,BERSERK and the Band of the Hawk,"21 Feb, 2017",66.49,,75.75%
714,Night in the Woods,"21 Feb, 2017",21.99,,89.95%
715,UBOAT,"30 Apr, 2019",33.99,,74.69%
716,Vampire: The Masquerade - Bloodlines,"22 Mar, 2007",21.99,,91.86%
717,Planetary Annihilation: TITANS,"18 Aug, 2015",33.99,,80.62%
718,Baldur's Gate: Enhanced Edition,"16 Jan, 2013",21.99,,87.07%
719,"Warhammer 40,000: Space Marine","6 Sep, 2011",32.99,,89.32%
720,Timelie,"20 May, 2020",21.79,,91.26%
721,Age of Wonders III,"31 Mar, 2014",32.99,,77.77%
722,Fable - The Lost Chapters,"19 Dec, 2011",10.99,,89.07%
723,Quiplash,"30 Jun, 2015",10.99,,86.61%
724,GemCraft - Chasing Shadows,"30 Apr, 2015",10.99,5.49,92.41%
725,Typical,"15 Dec, 2018",8.99,,76.61%
726,Sniper Elite 4,"13 Feb, 2017",66.49,,86.81%
727,Bendy and the Ink Machine,"27 Apr, 2017",24.99,,85.24%
728,Dead Island Definitive Edition,"31 May, 2016",21.99,,75.54%
729,Receiver 2,"14 Apr, 2020",22.79,,84.03%
730,Adera,"27 Aug, 2018",7.99,,79.85%
731,Furi,"5 Jul, 2016",22.79,,87.84%
732,Miss Fisher and the Deathly Maze,"12 Feb, 2018",8.99,,74.41%
733,Lovers in a Dangerous Spacetime,"9 Sep, 2015",16.99,,90.11%
734,Layers of Fear,"15 Feb, 2016",21.99,,87.75%
735,Dragon Age II,"4 Jun, 2020",26.99,,72.44%
736,Salt and Sanctuary,"17 May, 2016",19.99,,89.19%
737,FINAL FANTASY X/X-2 HD Remaster,"12 May, 2016",32.99,,88.09%
738,The Guild 3,"26 Sep, 2017",32.99,,56.57%
739,Flotsam,"26 Sep, 2019",28.99,,69.89%
740,The Fruit of Grisaia,"30 May, 2015",43.99,21.99,88.17%
741,V-Rally 4,"25 Sep, 2018",66.99,16.74,60.77%
742,记忆重构/Memories,"14 Aug, 2019",2.29,,73.07%
743,Lethal League Blaze,"24 Oct, 2018",22.79,,92.36%
744,TrackMania² Stadium,"20 Jun, 2013",9.99,,85.17%
745,Specimen 13,"29 Jul, 2020",10.29,,70.84%
746,Kadath,"5 Feb, 2019",6.69,,76.90%
747,Clustertruck,"27 Sep, 2016",16.99,,88.93%
748,Into The Flames,"27 May, 2020",22.79,20.51,76.50%
749,ISLANDERS,"4 Apr, 2019",6.69,,92.36%
750,Behold the Kickmen,"20 Jul, 2017",4.49,2.24,82.47%
751,NEKOPARA Vol. 1,"29 Dec, 2014",10.99,,93.44%
752,Langrisser I & II,"10 Mar, 2020",64.99,,72.94%
753,Corpse Party: Book of Shadows,"29 Oct, 2018",19.99,,82.30%
754,Armello,"1 Sep, 2015",19.99,,79.94%
755,TerraTech,"10 Aug, 2018",29.99,,86.27%
756,Crying Suns,"18 Sep, 2019",28.99,,84.16%
757,Farm Together,"11 Oct, 2018",22.79,,91.07%
758,Mafia III: Definitive Edition,"26 Oct, 2016",29.99,,53.41%
759,Kynseed,"8 Nov, 2018",11.49,,84.64%
760,The Walking Dead,"24 Apr, 2012",19.99,,95.03%
761,PULSAR: Lost Colony,"15 Sep, 2015",28.99,,88.11%
762,Wonderful Everyday Down the Rabbit-Hole,"30 Aug, 2017",32.99,19.79,89.81%
763,Wolfenstein: Youngblood,"25 Jul, 2019",39.99,,45.35%
764,Victory At Sea Pacific,"14 Sep, 2018",45.49,22.74,59.87%
765,Red Matter,"10 Nov, 2018",28.99,18.84,87.74%
766,Great Hero's Beard,"18 Oct, 2018",2.29,,81.06%
767,Football Game,"13 Feb, 2018",2.29,,80.94%
768,Mosaique Neko Waifus 2,"5 Jun, 2020",2.29,,86.70%
769,Deliver Us The Moon,"10 Oct, 2019",28.99,,85.53%
770,NASCAR Heat 5,"9 Jul, 2020",56.99,,56.33%
771,Children of Morta,"3 Sep, 2019",28.99,,89.44%
772,Strange Brigade,"27 Aug, 2018",56.99,,80.46%
773,Power & Revolution 2019 Edition,"12 Mar, 2019",56.99,,61.29%
774,Zero Escape: Zero Time Dilemma,"29 Jun, 2016",22.79,,84.56%
775,Castle Story,"17 Aug, 2017",27.99,,58.28%
776,Yonder: The Cloud Catcher Chronicles,"18 Jul, 2017",27.99,,78.82%
777,Duck Game,"4 Jun, 2015",13.99,,94.12%
778,Orcs Must Die! 2,"30 Jul, 2012",17.49,,92.31%
779,Stars End,"14 Oct, 2019",17.49,7.87,66.44%
780,Just Dance 2017,"27 Oct, 2016",49.99,,77.65%
781,Homeworld: Deserts of Kharak,"20 Jan, 2016",54.99,,78.40%
782,Men of War: Assault Squad,"24 Feb, 2011",10.99,2.19,84.66%
783,Dungeon Defenders,"19 Oct, 2011",17.49,,90.18%
784,NEO Scavenger,"15 Dec, 2014",17.49,,86.97%
785,Need for Speed™ Rivals,"4 Jun, 2020",26.99,,65.99%
786,The Evil Within 2,"13 Oct, 2017",54.99,,89.88%
787,FTL: Faster Than Light,"14 Sep, 2012",10.99,,94.45%
788,Five Nights at Freddy's 2,"10 Nov, 2014",8.99,,88.87%
789,Spellcaster University,"24 Sep, 2019",28.99,26.09,83.12%
790,Project Arrhythmia,"14 Jun, 2019",13.49,,90.71%
791,Evil Bank Manager,"7 Dec, 2018",13.49,,72.65%
792,Trackmania² Lagoon,"23 May, 2017",26.99,,59.33%
793,Zero Escape: The Nonary Games,"24 Mar, 2017",33.99,,90.44%
794,Crysis,"17 Sep, 2008",26.99,,80.93%
795,Maid of Sker,"28 Jul, 2020",28.99,,74.01%
796,Total War: ATTILA,"17 Feb, 2015",53.99,,76.61%
797,SILICON RISING,"13 Feb, 2020",23.79,16.65,68.25%
798,Stoneshard,"6 Feb, 2020",16.99,,76.58%
799,Hotel R'n'R,"28 May, 2020",22.79,,80.32%
800,Hand Simulator,"18 Jul, 2017",2.19,,81.62%
801,Jets'n'Guns 2,"24 Jul, 2020",17.49,,88.97%
802,Besiege,"18 Feb, 2020",17.49,,93.47%
803,Sonic Mania,"29 Aug, 2017",24.99,,89.97%
804,Worms W.M.D,"23 Aug, 2016",29.99,,78.70%
805,Swords & Souls: Neverseen,"22 Jul, 2019",17.49,,87.54%
806,Depth,"3 Nov, 2014",21.99,,85.80%
807,112 Operator,"23 Apr, 2020",28.99,18.84,81.70%
808,Bokuten - Why I Became an Angel,"19 Dec, 2019",51.49,25.74,77.04%
809,The Walking Dead: The Final Season,"14 Aug, 2018",26.99,,90.56%
810,Mirror's Edge™ Catalyst,"4 Jun, 2020",26.99,,78.78%
811,Rogue Legacy,"27 Jun, 2013",16.99,,91.31%
812,Bully: Scholarship Edition,"21 Oct, 2008",16.99,,81.65%
813,Space Pirate Trainer,"12 Oct, 2017",16.99,,90.48%
